question,answer
What was the medical certification of the pilot in the aircraft involved in [AccidentNumber_MIA02LA002],Class 3 Valid Medical--w/ waivers/lim.
What was the certificate of the pilot in the aircraft involved in [AccidentNumber_MIA02LA077],AirlineTransport;Commercial
What was the medical certification of the pilot in the aircraft involved in [AccidentNumber_MIA03CA086],Class 3 Valid Medical--w/ waivers/lim.
What is the Emergency Locator Transmitter of the registered aircraft involved in [AccidentNumber_LAX01LA068],"Installed, not activated"
What is the landing gear type of the registered aircraft involved in [AccidentNumber_FTW03LA004],Tailwheel
What is the aircraft model of the registered aircraft involved in [AccidentNumber_MIA03LA139],Velocity
What was the medical certification of the pilot in the aircraft involved in [AccidentNumber_FTW01LA105],Class 3 Valid Medical--w/ waivers/lim.
What was the medical certification of the pilot in the aircraft involved in [AccidentNumber_MIA02LA057],Class 1 Valid Medical--no waivers/lim.
What is the Airframe Total Time of the registered aircraft involved in [AccidentNumber_ATL05FA032],6808 Hours at time of accident
What is the aircraft manufacturer of the registered aircraft involved in [AccidentNumber_LAX03LA122],Ayres
What is the airworthiness certificate of the registered aircraft involved in [AccidentNumber_ATL04LA105],Normal
What is the engine type of the registered aircraft involved in [AccidentNumber_CHI05LA109],2TurboProp
What is the engine type of the registered aircraft involved in [AccidentNumber_LAX01LA163],1Reciprocating
What is the Airframe Total Time of the registered aircraft involved in [AccidentNumber_MIA05FA020],4516 Hours at time of accident
What was the airplane rating of the pilot in the aircraft involved in [AccidentNumber_CHI01LA079],Multi-engineLand;Single-engineLand
What is the aircraft manufacturer of the registered aircraft involved in [AccidentNumber_SEA05LA002],Cessna
What is the Airframe Total Time of the registered aircraft involved in [AccidentNumber_ATL03LA091],___Unknown___AirframeTotalTime
What was the certificate of the pilot in the aircraft involved in [AccidentNumber_MIA05CA068],Private
When was the last inspection of the registered aircraft involved in [AccidentNumber_SEA02LA046],Annual
What is the landing gear type of the registered aircraft involved in [AccidentNumber_ATL01LA045],Tricycle
What was the airplane rating of the pilot in the aircraft involved in [AccidentNumber_CHI04LA026],Single-engineLand
What could have contributed to the cause of the accident [AccidentNumber_FTW83LA007],PILOT_IN_COMMAND|PILOT_IN_COMMAND|UNKNOWN|PILOT_IN_COMMAND
What could have contributed to the cause of the accident [AccidentNumber_FTW98FA291],CONTAMINATIONOTHERTHANWATER
Who is the registered owner of the registered aircraft involved in [AccidentNumber_ANC01LA136],BILL MARTIN FISH ALASKA INC.
What is the aircraft manufacturer of the registered aircraft involved in [AccidentNumber_CHI04LA039],Cessna
Who is the engine manufacturer of the registered aircraft involved in [AccidentNumber_DEN02LA013],Allison
What could have contributed to the cause of the accident [AccidentNumber_NYC06LA167],CONTAMINATIONOTHERTHANWATER
What is the aircraft category of the registered aircraft involved in [AccidentNumber_CHI03LA190],Airplane
What is the airworthiness certificate of the registered aircraft involved in [AccidentNumber_ATL04LA063],Normal
What is the landing gear type of the registered aircraft involved in [AccidentNumber_ATL03LA050],Tricycle
What was the other instructor rating of the pilot in the aircraft involved in [AccidentNumber_DEN03LA062],Balloon; Helicopter
What is the engine type of the registered aircraft involved in [AccidentNumber_LAX03LA044],1Reciprocating
What is the engine type of the registered aircraft involved in [AccidentNumber_CHI05LA086],1Reciprocating
What was the certificate of the pilot in the aircraft involved in [AccidentNumber_FTW03LA143],FlightInstructor;Commercial
What could have contributed to the cause of the accident [AccidentNumber_CEN14CA338],PILOT_IN_COMMAND
What is the operator of the registered aircraft involved in [AccidentNumber_ANC02LA112],MONTE TOWNSEND
What is the aircraft model of the registered aircraft involved in [AccidentNumber_IAD05LA029],172L
What is the operator of the registered aircraft involved in [AccidentNumber_SEA02FA023],US Department of Agriculture
What is the serial number of the registered aircraft involved in [AccidentNumber_CHI03FA239],SRII-036
What could have contributed to the cause of the accident [AccidentNumber_CEN09CA045],Fatigue/wear/corrosion|CapabilityExceeded|Failure|Incorrectuse/operation|Incorrectservice/maintenance|STUDENT_PILOT|FLIGHTCREW|NOT_SPECIFIED|INSTRUCTOR/CHECK_PILOT|PILOT_IN_COMMAND
What is the Emergency Locator Transmitter of the registered aircraft involved in [AccidentNumber_ATL04LA063],"Installed, activated, did not aid in locating accident"
What is the serial number of the registered aircraft involved in [AccidentNumber_LAX02LA077],BG139
What is the aircraft category of the registered aircraft involved in [AccidentNumber_MIA02FAMS1],Airplane
Who is the registered owner of the registered aircraft involved in [AccidentNumber_LAX05CA082],Kern Charter Service Inc.
What could have contributed to the cause of the accident [AccidentNumber_ANC85LA019],OTHERPERSON|OTHER
What is the Emergency Locator Transmitter of the registered aircraft involved in [AccidentNumber_NYC02FA152],"Installed, not activated"
What was the instructor rating of the pilot in the aircraft involved in [AccidentNumber_SEA02FA023],Airplane Multi-engine; Airplane Single-engine; Instrument Airplane
What is the airworthiness certificate of the registered aircraft involved in [AccidentNumber_DFW05LA026],Normal
What is the aircraft manufacturer of the registered aircraft involved in [AccidentNumber_FTW02LA135],Piper
What is the serial number of the registered aircraft involved in [AccidentNumber_SEA04LA178],H-1
What was the airplane rating of the pilot in the aircraft involved in [AccidentNumber_NYC03LA003],Multi-engineLand;Single-engineLand;Single-engineSea
What is the engine model of the registered aircraft involved in [AccidentNumber_LAX05FA193],O-360-A1D
What is the serial number of the registered aircraft involved in [AccidentNumber_CHI05LA109],31T-8020049
Who is the registered owner of the registered aircraft involved in [AccidentNumber_LAX03LA163],S W Retail Inc.
What was the certificate of the pilot in the aircraft involved in [AccidentNumber_NYC02LA091],Student
What is the aircraft model of the registered aircraft involved in [AccidentNumber_LAX02LA035],WACOYMF
What was the medical certification of the pilot in the aircraft involved in [AccidentNumber_ANC05FA090],Class 2 With Waivers/Limitations
Who is the registered owner of the registered aircraft involved in [AccidentNumber_NYC02LA101],Paramus Flying Club
What is the landing gear type of the registered aircraft involved in [AccidentNumber_DEN04LA056],Tricycle
What was the certificate of the pilot in the aircraft involved in [AccidentNumber_IAD02LA039],AirlineTransport
What is the engine model of the registered aircraft involved in [AccidentNumber_FTW03LA004],PT6A-20
What is the operator of the registered aircraft involved in [AccidentNumber_NYC03GA094],John McPhee
What could have contributed to the cause of the accident [AccidentNumber_MIA96LA074],PILOT_IN_COMMAND|GROUNDPERSONNEL|PILOT_IN_COMMAND|PILOT_OF_OTHER_AIRCRAFT|UNQUALIFIEDPERSON|COPILOT/SECOND_PILOT|PILOT_IN_COMMAND
What could have contributed to the cause of the accident [AccidentNumber_GAA17CA172],CapabilityExceeded|NotSpecified|Attain/maintainNotPossible|Notattained/maintained|Response/compensation|EffectOnEquipment|EffectOnOperation|NotSpecified|AwarenessOfCondition|ContributedToOutcome|AbilityTorespond/compensate|STUDENT_PILOT|FLIGHTCREW|NOT_SPECIFIED|INSTRUCTOR/CHECK_PILOT|PILOT_IN_COMMAND
What could have contributed to the cause of the accident [AccidentNumber_MIA95GA033],COMPANY/OPERATOR_MANAGEMENT
What was the airplane rating of the pilot in the aircraft involved in [AccidentNumber_DFW05CA177],Single-engineLand
What is the engine model of the registered aircraft involved in [AccidentNumber_ATL04LA167],O-320E2D
What was the instructor rating of the pilot in the aircraft involved in [AccidentNumber_CHI03LA187],Airplane Multi-engine; Airplane Single-engine
What is the aircraft manufacturer of the registered aircraft involved in [AccidentNumber_DFW05LA115],Lancair
What is the Emergency Locator Transmitter of the registered aircraft involved in [AccidentNumber_FTW03LA102],Not installed
What could have contributed to the cause of the accident [AccidentNumber_FTW00LA222],PILOT_IN_COMMAND
What is the engine type of the registered aircraft involved in [AccidentNumber_SEA03LA023],1TurboShaft
What could have contributed to the cause of the accident [AccidentNumber_LAX92FA196],DUAL_STUDENT|PILOT_IN_COMMAND
What is the aircraft manufacturer of the registered aircraft involved in [AccidentNumber_FTW03LA200],Champion
What is the operator of the registered aircraft involved in [AccidentNumber_MIA02LA122],Kenneth F. Harp
When was the last inspection of the registered aircraft involved in [AccidentNumber_ANC01LA053],100 Hour
Who is the registered owner of the registered aircraft involved in [AccidentNumber_SEA05CA035],Alldredge Aviation
What is the aircraft category of the registered aircraft involved in [AccidentNumber_CHI04LA001],Airplane
What is the engine model of the registered aircraft involved in [AccidentNumber_DEN05CA018],O-235-N15
What is the engine model of the registered aircraft involved in [AccidentNumber_ANC05LA093],O-320
What could have contributed to the cause of the accident [AccidentNumber_WPR09LA071],INSTRUCTOR/CHECK_PILOT|PILOT_IN_COMMAND|STUDENT_PILOT|InadequateInspection|FluidType|Notserviced/maintained|FluidManagement|FluidLevel|FluidCondition|NotSpecified|NotInspected
What is the airworthiness certificate of the registered aircraft involved in [AccidentNumber_ATL01LA051],Normal
What was the airplane rating of the pilot in the aircraft involved in [AccidentNumber_LAX05LA154],Single-engineLand
What was the instructor rating of the pilot in the aircraft involved in [AccidentNumber_IAD05LA009],Airplane Multi-engine; Airplane Single-engine; Instrument Airplane
What is the aircraft model of the registered aircraft involved in [AccidentNumber_SEA04LA063A],STDLibelle201B
What could have contributed to the cause of the accident [AccidentNumber_WPR13LA396],INSTRUCTOR/CHECK_PILOT|PILOT_IN_COMMAND|STUDENT_PILOT|InadequateInspection|FluidType|Notserviced/maintained|FluidManagement|FluidLevel|FluidCondition|NotSpecified|NotInspected
What could have contributed to the cause of the accident [AccidentNumber_ANC03LA029],OTHER
What is the engine model of the registered aircraft involved in [AccidentNumber_MIA04LA050],TSIO-360-MB2B
What is the Airframe Total Time of the registered aircraft involved in [AccidentNumber_NYC04LA099],18134.6 Hours at time of accident
What was the airplane rating of the pilot in the aircraft involved in [AccidentNumber_DEN05CA018],Multi-engineLand;Single-engineLand
What is the engine type of the registered aircraft involved in [AccidentNumber_IAD05LA009],1Reciprocating
What could have contributed to the cause of the accident [AccidentNumber_GAA16CA219],STUDENT_PILOT|FLIGHTCREW|NOT_SPECIFIED|INSTRUCTOR/CHECK_PILOT|PILOT_IN_COMMAND|Attain/maintainNotPossible|Notattained/maintained
What is the Emergency Locator Transmitter of the registered aircraft involved in [AccidentNumber_SEA04LA064],"Installed, not activated"
What is the airworthiness certificate of the registered aircraft involved in [AccidentNumber_LAX02LA100],Normal
What is the engine type of the registered aircraft involved in [AccidentNumber_FTW03FA028],1Reciprocating
What was the airplane rating of the pilot in the aircraft involved in [AccidentNumber_NYC02LA002],Multi-engineLand;Single-engineLand;Single-engineSea
What is the engine model of the registered aircraft involved in [AccidentNumber_ATL04LA105],O-470-L
What is the serial number of the registered aircraft involved in [AccidentNumber_LAX02LA036],24-2383
What is the Airframe Total Time of the registered aircraft involved in [AccidentNumber_MIA01GA070],3648 Hours
What is the engine model of the registered aircraft involved in [AccidentNumber_FTW03LA001],O-540-B4B5
What is the airworthiness certificate of the registered aircraft involved in [AccidentNumber_SEA05CA003],Normal
What could have contributed to the cause of the accident [AccidentNumber_ERA13LA264],Attain/maintainNotPossible|Notattained/maintained|CapabilityExceeded|Response/compensation|EffectOnOperation|EffectOnEquipment|NotSpecified|ContributedToOutcome|AbilityTorespond/compensate|FLIGHTCREW|COMPANY_MAINTENANCE_PERSONNEL|INSTRUCTOR/CHECK_PILOT|_UNKNOWN_PERSON|PILOT_IN_COMMAND|STUDENT_PILOT|PILOT_OF_OTHER_AIRCRAFT
What is the aircraft category of the registered aircraft involved in [AccidentNumber_FTW03LA002],Airplane
What could have contributed to the cause of the accident [AccidentNumber_CHI83LA126],CHECK_PILOT|PILOT_IN_COMMAND|DUAL_STUDENT|PILOT_IN_COMMAND|OTHERPERSON|OTHER
What is the engine model of the registered aircraft involved in [AccidentNumber_LAX02LA099],SS-165
What is the Emergency Locator Transmitter of the registered aircraft involved in [AccidentNumber_CHI03LA045],"Installed, not activated"
What is the landing gear type of the registered aircraft involved in [AccidentNumber_LAX03LA146],Tailwheel
What is the Emergency Locator Transmitter of the registered aircraft involved in [AccidentNumber_FTW02FA087],"Installed, not activated"
What is the aircraft manufacturer of the registered aircraft involved in [AccidentNumber_ATL04LA063],Cessna
What is the engine type of the registered aircraft involved in [AccidentNumber_LAX03LA018],1Reciprocating
What was the certificate of the pilot in the aircraft involved in [AccidentNumber_DEN05LA019],FlightInstructor;Commercial
What was the certificate of the pilot in the aircraft involved in [AccidentNumber_FTW01LA057],Private
What is the engine type of the registered aircraft involved in [AccidentNumber_FTW03LA004],1TurboProp
What could have contributed to the cause of the accident [AccidentNumber_ERA09LA123],EffectOnPersonnel|EffectOnOperation|ContributedToOutcome|DecisionRelatedToCondition|FLIGHTCREW|COMPANY_MAINTENANCE_PERSONNEL|INSTRUCTOR/CHECK_PILOT|_UNKNOWN_PERSON|PILOT_IN_COMMAND|STUDENT_PILOT|PILOT_OF_OTHER_AIRCRAFT
What is the serial number of the registered aircraft involved in [AccidentNumber_ATL05TA055],R172-0208
What could have contributed to the cause of the accident [AccidentNumber_LAX03FA147],PILOT_IN_COMMAND
What is the aircraft manufacturer of the registered aircraft involved in [AccidentNumber_MIA03TA036],Hughes
What is the Airframe Total Time of the registered aircraft involved in [AccidentNumber_FTW01LA113],___Unknown___AirframeTotalTime
What is the Emergency Locator Transmitter of the registered aircraft involved in [AccidentNumber_FTW02LA136],"Installed, activated, did not aid in locating accident"
What is the aircraft model of the registered aircraft involved in [AccidentNumber_ANC05CA054],PA-18
What is the engine model of the registered aircraft involved in [AccidentNumber_LAX01LA163],O-360-A1F6
What was the airplane rating of the pilot in the aircraft involved in [AccidentNumber_DEN03LA027],Multi-engineLand;Single-engineLand
What is the aircraft manufacturer of the registered aircraft involved in [AccidentNumber_ANC05LA093],Bellanca
What is the serial number of the registered aircraft involved in [AccidentNumber_CHI01LA255],E2115
What is the Emergency Locator Transmitter of the registered aircraft involved in [AccidentNumber_NYC01LA198],"Installed, not activated"
What could have contributed to the cause of the accident [AccidentNumber_LAX99LA070],CHECK_PILOT|OTHERPERSON|PILOT_IN_COMMAND
Who is the engine manufacturer of the registered aircraft involved in [AccidentNumber_CHI03LA294],Lycoming
What is the aircraft manufacturer of the registered aircraft involved in [AccidentNumber_ATL05CA056],Bellanca
What was the certificate of the pilot in the aircraft involved in [AccidentNumber_LAX03LA163],Private
What is the Airframe Total Time of the registered aircraft involved in [AccidentNumber_ANC01LA028],4115 Hours at time of accident
What is the engine type of the registered aircraft involved in [AccidentNumber_CHI04LA052],1Reciprocating
What was the medical certification of the pilot in the aircraft involved in [AccidentNumber_SEA05CA003],Class 2
What is the airworthiness certificate of the registered aircraft involved in [AccidentNumber_CHI01LA081],Normal
What is the airworthiness certificate of the registered aircraft involved in [AccidentNumber_NYC02LA107],Experimental
What was the airplane rating of the pilot in the aircraft involved in [AccidentNumber_ANC02LA089],Single-engineLand;Single-engineSea
What could have contributed to the cause of the accident [AccidentNumber_CEN14LA277],FLIGHTCREW|COMPANY_MAINTENANCE_PERSONNEL|INSTRUCTOR/CHECK_PILOT|_UNKNOWN_PERSON|PILOT_IN_COMMAND|STUDENT_PILOT|PILOT_OF_OTHER_AIRCRAFT|DecisionRelatedToCondition|AbilityTorespond/compensate|EffectOnOperation|Incorrectuse/operation
What was the certificate of the pilot in the aircraft involved in [AccidentNumber_ATL04LA032],Private
What is the landing gear type of the registered aircraft involved in [AccidentNumber_ATL01LA063B],Tricycle
What is the engine model of the registered aircraft involved in [AccidentNumber_ANC01LA063],O-470-L
What is the Airframe Total Time of the registered aircraft involved in [AccidentNumber_NYC03LA187],1455 Hours at time of accident
What is the aircraft model of the registered aircraft involved in [AccidentNumber_ATL03LA086],150G
What is the landing gear type of the registered aircraft involved in [AccidentNumber_NYC04CA020],Tricycle
What is the operator of the registered aircraft involved in [AccidentNumber_FTW02LA044],"Versatile Helicopters, Inc."
What could have contributed to the cause of the accident [AccidentNumber_WPR11CA121],CapabilityExceeded|Notattained/maintained|STUDENT_PILOT|FLIGHTCREW|NOT_SPECIFIED|INSTRUCTOR/CHECK_PILOT|PILOT_IN_COMMAND|ContributedToOutcome
What could have contributed to the cause of the accident [AccidentNumber_DEN84LA206],OTHER
What is the aircraft manufacturer of the registered aircraft involved in [AccidentNumber_NYC03GA094],Piper
What is the aircraft manufacturer of the registered aircraft involved in [AccidentNumber_SEA03LA182],Pitts
What is the aircraft manufacturer of the registered aircraft involved in [AccidentNumber_CHI01LA195],AirTractor
What is the engine type of the registered aircraft involved in [AccidentNumber_FTW01LA045],1Reciprocating
What is the operator of the registered aircraft involved in [AccidentNumber_MIA01FA206],BANKAIR INC
What could have contributed to the cause of the accident [AccidentNumber_GAA15CA041],NotSpecified|Notattained/maintained|STUDENT_PILOT|FLIGHTCREW|NOT_SPECIFIED|INSTRUCTOR/CHECK_PILOT|PILOT_IN_COMMAND
What could have contributed to the cause of the accident [AccidentNumber_CEN11CA002],Failure|NotSpecified|Damaged/degraded|Malfunction|Incorrectservice/maintenance|Notserviced/maintained
What could have contributed to the cause of the accident [AccidentNumber_CHI03LA194],OTHER
What could have contributed to the cause of the accident [AccidentNumber_ATL82DA260],OTHER
What is the engine type of the registered aircraft involved in [AccidentNumber_ATL02FA113],2TurboFan
What is the landing gear type of the registered aircraft involved in [AccidentNumber_CHI02LA045],Tricycle
What could have contributed to the cause of the accident [AccidentNumber_CEN14LA401],Failure|CapabilityExceeded
What could have contributed to the cause of the accident [AccidentNumber_MIA97FA152],UNKNOWN|PILOT_IN_COMMAND
What could have contributed to the cause of the accident [AccidentNumber_WPR10CA094],INSTRUCTOR/CHECK_PILOT|PILOT_IN_COMMAND|ContributedToOutcome|DecisionRelatedToCondition|EffectOnOperation|Response/compensation
What was the certificate of the pilot in the aircraft involved in [AccidentNumber_SEA02LA001],Private
What is the Airframe Total Time of the registered aircraft involved in [AccidentNumber_DFW05CA097],15012.1 Hours at time of accident
What is the engine model of the registered aircraft involved in [AccidentNumber_SEA04LA062],6A-350-C1
What is the operator of the registered aircraft involved in [AccidentNumber_ANC03LA010],David J. Misiuk
What was the certificate of the pilot in the aircraft involved in [AccidentNumber_LAX02LA146],AirlineTransport;FlightInstructor;Commercial;FlightEngineer
What is the aircraft model of the registered aircraft involved in [AccidentNumber_CHI03LA244],J3C-65
What could have contributed to the cause of the accident [AccidentNumber_ERA15FA335],STUDENT_PILOT|FLIGHTCREW|NOT_SPECIFIED|INSTRUCTOR/CHECK_PILOT|PILOT_IN_COMMAND
What is the engine model of the registered aircraft involved in [AccidentNumber_CHI05LA173],O-320-B2C
What is the engine model of the registered aircraft involved in [AccidentNumber_CHI05LA064],IO-520-D
What is the airworthiness certificate of the registered aircraft involved in [AccidentNumber_ATL05FA032],Normal
What is the landing gear type of the registered aircraft involved in [AccidentNumber_LAX01LA164],Retractable-Tricycle
What could have contributed to the cause of the accident [AccidentNumber_BFO87FA006],OTHERPERSON|OTHER|OTHER
What is the aircraft manufacturer of the registered aircraft involved in [AccidentNumber_NYC05FA054],Boeing
What could have contributed to the cause of the accident [AccidentNumber_CEN10LA186],NotSpecified
What is the operator of the registered aircraft involved in [AccidentNumber_FTW03LA034],University of Arkansas
Who is the engine manufacturer of the registered aircraft involved in [AccidentNumber_SEA03LA032],Continental
What could have contributed to the cause of the accident [AccidentNumber_ATL84LA002],OTHER|UNQUALIFIEDPERSON|DUAL_STUDENT|PILOT_IN_COMMAND|PILOT_OF_OTHER_AIRCRAFT
What is the Emergency Locator Transmitter of the registered aircraft involved in [AccidentNumber_MIA03CA103],___Unknown___ELT
What was the medical certification of the pilot in the aircraft involved in [AccidentNumber_ANC01LA080],Class 3 Valid Medical--w/ waivers/lim.
What is the airworthiness certificate of the registered aircraft involved in [AccidentNumber_SEA01LA110],Normal
What is the aircraft manufacturer of the registered aircraft involved in [AccidentNumber_CHI05CA060],Cessna
What is the operator of the registered aircraft involved in [AccidentNumber_NYC03FA001],Karl S. Bernardi
What is the Emergency Locator Transmitter of the registered aircraft involved in [AccidentNumber_CHI05LA067],"Installed, not activated"
Who is the engine manufacturer of the registered aircraft involved in [AccidentNumber_ANC03LA016],Lycoming
What could have contributed to the cause of the accident [AccidentNumber_SEA92LA087],OTHER|PILOT_IN_COMMAND|OTHER
What is the airworthiness certificate of the registered aircraft involved in [AccidentNumber_CHI05CA060],Normal
What could have contributed to the cause of the accident [AccidentNumber_DEN05LA131],UNKNOWN|PILOT_IN_COMMAND
What is the aircraft manufacturer of the registered aircraft involved in [AccidentNumber_ANC04LA034],Cessna
What is the operator of the registered aircraft involved in [AccidentNumber_ATL05CA019],"Pegasus Air, LLC"
What could have contributed to the cause of the accident [AccidentNumber_GAA16CA176],NotSpecified|Attain/maintainNotPossible|Notattained/maintained|CapabilityExceeded|Response/compensation|EffectOnEquipment|EffectOnOperation|NotSpecified|AwarenessOfCondition|ContributedToOutcome|AbilityTorespond/compensate|STUDENT_PILOT|FLIGHTCREW|NOT_SPECIFIED|INSTRUCTOR/CHECK_PILOT|PILOT_IN_COMMAND
What could have contributed to the cause of the accident [AccidentNumber_LAX84LA086],OTHERPERSON|OTHER|OTHER
What is the engine model of the registered aircraft involved in [AccidentNumber_SEA03LA032],O-470K
Who is the registered owner of the registered aircraft involved in [AccidentNumber_CHI04LA124],"Rattlesden, Ltd"
Who is the registered owner of the registered aircraft involved in [AccidentNumber_MIA05CA121],Clearwater Airpark Flight School Inc.
What was the medical certification of the pilot in the aircraft involved in [AccidentNumber_LAX02LA076],Class 3 Valid Medical--w/ waivers/lim.
What could have contributed to the cause of the accident [AccidentNumber_IAD01LA001],UNKNOWN|PILOT_IN_COMMAND
What could have contributed to the cause of the accident [AccidentNumber_DFW05LA115],UNKNOWN|PILOT_IN_COMMAND
Who is the registered owner of the registered aircraft involved in [AccidentNumber_FTW03FA071],John A. Jordan
What was the medical certification of the pilot in the aircraft involved in [AccidentNumber_ANC03LA009],Class 3 Expired
What was the certificate of the pilot in the aircraft involved in [AccidentNumber_ANC04LA018],AirlineTransport
What is the engine model of the registered aircraft involved in [AccidentNumber_ATL05CA095],O-200A
What is the Airframe Total Time of the registered aircraft involved in [AccidentNumber_DEN03LA148],4035.7 Hours at time of accident
What is the operator of the registered aircraft involved in [AccidentNumber_SEA04FA031],"Auburn Flight Service, Inc."
What is the aircraft manufacturer of the registered aircraft involved in [AccidentNumber_IAD01LA035],Cessna
Who is the engine manufacturer of the registered aircraft involved in [AccidentNumber_IAD01LA035],Continental
What is the landing gear type of the registered aircraft involved in [AccidentNumber_ATL01LA050],Tricycle
What was the certificate of the pilot in the aircraft involved in [AccidentNumber_LAX02FA038],Private
What is the engine model of the registered aircraft involved in [AccidentNumber_LAX02LA221],TSIO-520SER
What is the Airframe Total Time of the registered aircraft involved in [AccidentNumber_CHI03LA187],3552 Hours as of last inspection
Who is the engine manufacturer of the registered aircraft involved in [AccidentNumber_CHI05CA208],Lycoming
What is the landing gear type of the registered aircraft involved in [AccidentNumber_MIA03CA086],Tailwheel
Who is the engine manufacturer of the registered aircraft involved in [AccidentNumber_ATL05CA068],Continental
Who is the engine manufacturer of the registered aircraft involved in [AccidentNumber_CHI05CA039],Lycoming
Who is the engine manufacturer of the registered aircraft involved in [AccidentNumber_IAD01FA089],Allison
What could have contributed to the cause of the accident [AccidentNumber_FTW04LA226],PILOT_IN_COMMAND
Who is the engine manufacturer of the registered aircraft involved in [AccidentNumber_LAX04LA199],Jacobs
What is the landing gear type of the registered aircraft involved in [AccidentNumber_ATL03LA124],Retractable-Tricycle
What could have contributed to the cause of the accident [AccidentNumber_NYC93LA032],OTHER
What could have contributed to the cause of the accident [AccidentNumber_ATL82DA123B],PILOT_IN_COMMAND|PILOT_OF_OTHER_AIRCRAFT|OTHERPERSON|OTHER
What is the engine model of the registered aircraft involved in [AccidentNumber_LAX05CA059],TPE331
What is the Emergency Locator Transmitter of the registered aircraft involved in [AccidentNumber_CHI03LA294],"Installed, not activated"
What was the instructor rating of the pilot in the aircraft involved in [AccidentNumber_ANC01LA063],Airplane Single-engine
What was the medical certification of the pilot in the aircraft involved in [AccidentNumber_FTW02LA010],Class 1 Valid Medical--no waivers/lim.
What was the certificate of the pilot in the aircraft involved in [AccidentNumber_ATL01LA050],AirlineTransport
What could have contributed to the cause of the accident [AccidentNumber_DEN82DA124],OTHER|OTHERPERSON|OTHER
What could have contributed to the cause of the accident [AccidentNumber_ATL82DA123A],PILOT_IN_COMMAND|PILOT_OF_OTHER_AIRCRAFT
What is the aircraft category of the registered aircraft involved in [AccidentNumber_LAX02LA146],Airplane
What is the engine type of the registered aircraft involved in [AccidentNumber_ANC03LA010],1Reciprocating
What could have contributed to the cause of the accident [AccidentNumber_WPR13CA213],EffectOnEquipment|EffectOnOperation|FLIGHTCREW|COMPANY_MAINTENANCE_PERSONNEL|INSTRUCTOR/CHECK_PILOT|_UNKNOWN_PERSON|PILOT_IN_COMMAND|STUDENT_PILOT|PILOT_OF_OTHER_AIRCRAFT
What was the airplane rating of the pilot in the aircraft involved in [AccidentNumber_ANC04LA050],Multi-engineLand;Single-engineLand;Single-engineSea
What is the Airframe Total Time of the registered aircraft involved in [AccidentNumber_IAD05LA071],1397 Hours at time of accident
What could have contributed to the cause of the accident [AccidentNumber_CHI92DEC02],UNQUALIFIEDPERSON|COPILOT/SECOND_PILOT|PILOT_IN_COMMAND|PILOT_IN_COMMAND|PILOT_OF_OTHER_AIRCRAFT
When was the last inspection of the registered aircraft involved in [AccidentNumber_FTW04LA105],Annual
What is the operator of the registered aircraft involved in [AccidentNumber_CHI04LA097],Western Michigan University
What is the landing gear type of the registered aircraft involved in [AccidentNumber_ATL05CA068],Retractable-Tricycle
What is the landing gear type of the registered aircraft involved in [AccidentNumber_DFW05LA027],Retractable-Tricycle
What is the aircraft manufacturer of the registered aircraft involved in [AccidentNumber_FTW03FA028],Hughes
What is the landing gear type of the registered aircraft involved in [AccidentNumber_DEN05LA060],Tailwheel
What was the certificate of the pilot in the aircraft involved in [AccidentNumber_MIA03LA176],AirlineTransport;Commercial
What is the airworthiness certificate of the registered aircraft involved in [AccidentNumber_LAX04LA199],Normal
What could have contributed to the cause of the accident [AccidentNumber_WPR15LA177],Failure|Damaged/degraded|Fatigue/wear/corrosion|Design
What was the certificate of the pilot in the aircraft involved in [AccidentNumber_NYC05FA054],AirlineTransport;FlightInstructor;Commercial
Who is the registered owner of the registered aircraft involved in [AccidentNumber_MIA03LA116],Four Fox Air Inc.
What is the operating certificate held by the registered aircraft involved in [AccidentNumber_NYC04LA042],Flag carrier (121)
What could have contributed to the cause of the accident [AccidentNumber_WPR12CA073],EffectOnPersonnel|EffectOnEquipment|EffectOnOperation|AbilityTorespond/compensate
What was the airplane rating of the pilot in the aircraft involved in [AccidentNumber_ATL01LA063B],Single-engineLand
What could have contributed to the cause of the accident [AccidentNumber_LAX87DJA04],PILOT_IN_COMMAND|PILOT_OF_OTHER_AIRCRAFT
What is the engine type of the registered aircraft involved in [AccidentNumber_NYC03LA060],1Reciprocating
What is the aircraft category of the registered aircraft involved in [AccidentNumber_ANC01LA079],Airplane
What is the aircraft manufacturer of the registered aircraft involved in [AccidentNumber_SEA04LA152],Paulick
What could have contributed to the cause of the accident [AccidentNumber_CHI86LA097],PILOT_IN_COMMAND|PILOT_OF_OTHER_AIRCRAFT|OTHERPERSON|OTHER|CHECK_PILOT|PILOT_IN_COMMAND
What is the airworthiness certificate of the registered aircraft involved in [AccidentNumber_NYC02FA126],Restricted
Who is the engine manufacturer of the registered aircraft involved in [AccidentNumber_FTW02LA136],Pratt&Whitney
What is the operator of the registered aircraft involved in [AccidentNumber_DEN02LA049],Simon D. Bowles
What could have contributed to the cause of the accident [AccidentNumber_NYC02LA023],OTHER|OTHERPERSON|OTHER
What was the certificate of the pilot in the aircraft involved in [AccidentNumber_LAX02LA037],AirlineTransport;FlightInstructor
What is the airworthiness certificate of the registered aircraft involved in [AccidentNumber_DFW05CA079],Restricted
What is the landing gear type of the registered aircraft involved in [AccidentNumber_LAX01LA137],Tricycle
What is the aircraft manufacturer of the registered aircraft involved in [AccidentNumber_ANC03LA016],Piper
