question,answer
What is the crew injury associated with [AccidentNumber_CHI03LA187]?,1 None
What caused [AccidentNumber_ATL01LA002]?,FLIGHTPLANNING/DECISION|GOAROUND|PROPERTOUCHDOWNPOINT|TERRAINCONDITION|WEATHERCONDITION
What is the lowest cloud condition associated with [AccidentNumber_FTW02LA001]?,Clear
What is the second event associated with [AccidentNumber_MIA98LA050]?,GEAR_COLLAPSED
What is the third event associated with [AccidentNumber_CHI92FA119]?,IN_FLIGHT_COLLISION_WITH_TERRAIN/WATER
What is the third event associated with [AccidentNumber_CHI95LA303]?,OVERRUN
What certificate does [Pilot_CHI01LA079] have?,FlightInstructor;Commercial
What is the Federal Aviation Regulation associated with [AccidentNumber_CHI05LA064]?,Part91GeneralAviation-Personal
In which country did [AccidentNumber_FTW04LA053] occur?,AR
What instructor rating does [Pilot_ATL05CA019] have?,Airplane Multi-engine; Airplane Single-engine
What is the crew injury associated with [AccidentNumber_DEN04LA144]?,1 None
What is the first event associated with [AccidentNumber_ANC84LA162]?,LOSS_OF_CONTROL_-_ON_GROUND/WATER
What is the airplane rating associated with [Pilot_LAX03LA103]?,Multi-engineLand;Single-engineLand
What is the total injury associated with [AccidentNumber_IAD04LA019]?,1 Minor
What medical certification does [Pilot_NYC04LA151] have?,Class 3 Valid Medical--w/ waivers/lim.
What is the aircraft fire associated with [AccidentNumber_CHI03LA243]?,On-Ground
What [instrument rating] does [Pilot_LAX05LA221] have?,Airplane
What caused [AccidentNumber_CHI85LA083]?,WEATHERCONDITION|TERRAINCONDITION|AIRSPEED
What is the airplane rating associated with [Pilot_MIA02LA038]?,Single-engineLand
What is the first event associated with [AccidentNumber_CHI07FA016]?,AIRFRAME/COMPONENT/SYSTEM_FAILURE/MALFUNCTION
What is the third event associated with [AccidentNumber_LAX06LA024]?,AIRFRAME/COMPONENT/SYSTEM_FAILURE/MALFUNCTION
What is the Flight Crew associated with [AccidentNumber_CHI00LA235]?,PILOT_IN_COMMAND
In which country did [AccidentNumber_SEA04LA024] occur?,OR
What is the condition of light associated with [AccidentNumber_DEN03LA117]?,Day
What certificate does [Pilot_DEN05FA002] have?,AirlineTransport;FlightInstructor;Commercial
What is the third event associated with [AccidentNumber_LAX04LA084]?,ON_GROUND/WATER_COLLISION_WITH_OBJECT_-_FENCE
What certificate does [Pilot_DEN04LA020] have?,Commercial
What is the engine manufacturer associated with [Registration_N1621U]?,Continental
What airworthiness certificate does [Registration_N6946P] have?,Normal
What is the total injury associated with [AccidentNumber_MIA05CA121]?,2 None
What is the first event associated with [AccidentNumber_IAD05LA071]?,LOSS_OF_ENGINE_POWER(TOTAL)_-_NONMECHANICAL
What is the Flight Crew associated with [AccidentNumber_SEA93LA017]?,PILOT_IN_COMMAND
What is the second event associated with [AccidentNumber_BFO87FA006]?,IN_FLIGHT_COLLISION_WITH_TERRAIN/WATER
What engine is associated with [Registration_N43064]?,1Reciprocating
What is the crew injury associated with [AccidentNumber_CHI01LA255]?,1 None
What caused [AccidentNumber_DEN84MA247]?,FLIGHTPLANNING/DECISION|DESIGNSTRESSLIMITSOFAIRCRAFT|WING|STALL|FLIGHTINTOKNOWNADVERSEWEATHER|WEATHERCONDITION
What airworthiness certificate does [Registration_N4686J] have?,Normal
What aircraft category does [Registration_N4602S] belong to?,Airplane
What caused [AccidentNumber_LAX91LA064]?,DIRECTIONALCONTROL|RECOVERYFROMBOUNCEDLANDING|FLARE
What is the airport associated with [AccidentNumber_DEN01LA060]?,___Unknown___Airport
What is the condition of light associated with [AccidentNumber_ANC03LA011]?,Day
What are the conditions at the accident site associated with [AccidentNumber_IAD05LA009]?,Visual Conditions
What is the airplane rating associated with [Pilot_ANC03FA106]?,Single-engineLand
What are the conditions at the accident site associated with [AccidentNumber_MIA02FA048]?,Visual Conditions
What is the second event associated with [AccidentNumber_CHI88LA229]?,IN_FLIGHT_COLLISION_WITH_TERRAIN/WATER
What is the second event associated with [AccidentNumber_ATL87LA014]?,NOSE_OVER
What is the first event associated with [AccidentNumber_NYC95LA038]?,LOSS_OF_CONTROL_-_IN_FLIGHT
What is the lowest cloud condition associated with [AccidentNumber_NYC04FA137]?,Clear
What is the aircraft manufacturer associated with [Registration_N257LA]?,AirTractor
What is the Visual Flight Rules approach associated with [AccidentNumber_CHI03LA143]?,Straight-in
What is the landing gear associated with [Registration_N6981B]?,Tailwheel
What is the condition of light associated with [AccidentNumber_CHI03FA003]?,Night
What airspace is associated with [AccidentNumber_DEN05LA055]?,ClassG
What is the Visual Flight Rules approach associated with [AccidentNumber_FTW01LA113]?,___Unknown___VisualFlightRulesApproach
What is the restraint used associated with [Pilot_DEN05FA002]?,"Seatbelt, Shoulder harness"
What caused [AccidentNumber_MIA02LA038]?,BECAMELOST/DISORIENTED|VISUALLOOKOUT
What is the airport associated with [AccidentNumber_FTW03LA004]?,___Unknown___Airport
What is the third event associated with [AccidentNumber_LAX95LA233]?,"IN_FLIGHT_COLLISION_WITH_OBJECT_-_WIRE,TRANSMISSION"
What is the runway surface type associated with [AccidentNumber_MIA01LA207]?,Asphalt
What airspace is associated with [AccidentNumber_NYC02LA046]?,ClassG
What is the Flight Crew associated with [AccidentNumber_MKC82DA093]?,PILOT_IN_COMMAND
What airworthiness certificate does [Registration_N1202V] have?,Normal
What is the Flight Crew associated with [AccidentNumber_CHI05CA060]?,PILOT_IN_COMMAND(CFI)|PILOT_IN_COMMAND
What is the lowest cloud condition associated with [AccidentNumber_CHI01LA061]?,Clear
What is the fourth event associated with [AccidentNumber_IAD05LA001]?,GEAR_COLLAPSED
What caused [AccidentNumber_FTW99LA059]?,TERRAINCONDITION|WEATHERCONDITION|LIGHTCONDITION
What is the second event associated with [AccidentNumber_CHI00LA068]?,ON_GROUND/WATER_ENCOUNTER_WITH_TERRAIN/WATER
What is the condition of light associated with [AccidentNumber_FTW02LA228]?,Day
What airworthiness certificate does [Registration_N3146S] have?,Normal
What is the airplane rating associated with [Pilot_DFW05CA144]?,Multi-engineLand;Single-engineLand
What is the runway surface type associated with [AccidentNumber_IAD05LA001]?,Asphalt
In which country did [AccidentNumber_CHI03LA002] occur?,MI
What was the result of the last inspection for [Registration_N851CP]?,100 Hour
What airspace is associated with [AccidentNumber_LAX05LA253]?,AirportInformation
What certificate does [Pilot_ATL03FA052] have?,Commercial
What is the landing gear associated with [Registration_N3TW]?,Tailwheel
What is the landing gear associated with [Registration_N25GH]?,Skid
What was the result of the last inspection for [Registration_N345MC]?,___Unknown___TypeOfLastInspection
What is the second event associated with [AccidentNumber_MIA87FA220]?,LOSS_OF_CONTROL_-_IN_FLIGHT
What is the Visual Flight Rules approach associated with [AccidentNumber_CHI04LA187]?,___Unknown___VisualFlightRulesApproach
What is the aircraft issue that caused [AccidentNumber_MIA02FA048]?,___Unknown___AircraftIssue
What is the crew injury associated with [AccidentNumber_MIA02FA162]?,1 Fatal
What caused [AccidentNumber_DEN85LA234]?,WEATHEREVALUATION|JUDGMENT|WEATHERCONDITION|FLIGHTPLANNING/DECISION
What is the Flight Crew associated with [AccidentNumber_LAX83LA207]?,PILOT_IN_COMMAND
What is the engine manufacturer associated with [Registration_N3219T]?,___Unknown___EngineManufacturer
What was the result of the last inspection for [Registration_N96LS]?,Annual
What are the conditions at the accident site associated with [AccidentNumber_FTW02LA137]?,Visual Conditions
What is the aircraft issue that caused [AccidentNumber_ATL05CA095]?,___Unknown___AircraftIssue
What caused [AccidentNumber_CHI95FA114]?,JUDGMENT|LACKOFEXPERIENCE|WEATHERCONDITION
What is the second event associated with [AccidentNumber_BFO93LA080]?,FORCED_LANDING
What caused [AccidentNumber_LAX88FA101]?,AIRCRAFTCONTROL|SPATIALDISORIENTATION|PREFLIGHTPLANNING/PREPARATION|WEATHERCONDITION|TERRAINCONDITION|VFRFLIGHTINTOIMC
What is the second event associated with [AccidentNumber_IAD02LA055]?,ON_GROUND/WATER_ENCOUNTER_WITH_TERRAIN/WATER
What certificate does [Pilot_MIA01GA070] have?,Private
What is the total injury associated with [AccidentNumber_FTW02LA137]?,"1 Serious, 1 Minor"
What is the first event associated with [AccidentNumber_MIA02FA162]?,LOSS_OF_ENGINE_POWER
What is the third event associated with [AccidentNumber_CHI84LA003]?,MAIN_GEAR_COLLAPSED
What is the Flight Crew associated with [AccidentNumber_DEN03FA002]?,PILOT_IN_COMMAND
What was the result of the last inspection for [Registration_N1029G]?,Annual
What certificate does [Pilot_NYC04CA022] have?,Commercial
What airworthiness certificate does [Registration_N3086R] have?,Utility
What is the crew injury associated with [AccidentNumber_ANC03LA009]?,1 None
What is the first event associated with [AccidentNumber_NYC06FA048]?,LOSS_OF_CONTROL_-_IN_FLIGHT
What is the aircraft damage associated with [AccidentNumber_NYC04FA136]?,Destroyed
What is the airplane rating associated with [Pilot_LAX05CA153]?,Single-engineLand
What is the third event associated with [AccidentNumber_NYC04CA022]?,IN_FLIGHT_COLLISION_WITH_TERRAIN/WATER
What is the first event associated with [AccidentNumber_MKC85FA031]?,LOSS_OF_ENGINE_POWER(TOTAL)_-_NONMECHANICAL
What is the total injury associated with [AccidentNumber_ATL04LA063]?,1 Minor
What airspace is associated with [AccidentNumber_CHI04CA132]?,ClassG
What instructor rating does [Pilot_CHI01FA129] have?,Airplane Multi-engine; Airplane Single-engine; Instrument Airplane
What is the condition of light associated with [AccidentNumber_FTW03LA002]?,Day
What is the aircraft damage associated with [AccidentNumber_ATL03LA040]?,Substantial
What airspace is associated with [AccidentNumber_NYC02LA023]?,ClassD
What are the conditions at the accident site associated with [AccidentNumber_MIA02LA165]?,Visual Conditions
What certificate does [Pilot_CHI03LA158] have?,FlightInstructor;Commercial
What is the instrument flight rules approach associated with [AccidentNumber_CHI02LA018]?,Visual
What is the aircraft issue that caused [AccidentNumber_DFW05LA115]?,___Unknown___AircraftIssue
What is the first event associated with [AccidentNumber_FTW98LA141]?,LOSS_OF_CONTROL_-_ON_GROUND/WATER
What is the runway surface type associated with [AccidentNumber_LAX03FA057]?,Asphalt
What airspace is associated with [AccidentNumber_FTW02LA170]?,ClassE
What engine is associated with [Registration_N3602D]?,1Reciprocating
What is the second event associated with [AccidentNumber_CHI07FA032]?,LOSS_OF_CONTROL_-_IN_FLIGHT
What engine is associated with [Registration_N6626K]?,1TurboProp
What are the conditions at the accident site associated with [AccidentNumber_FTW03LA001]?,Visual Conditions
What is the airframe total time associated with [Registration_G-BNLS]?,___Unknown___AirframeTotalTime
What is the first event associated with [AccidentNumber_CHI86LA002]?,LOSS_OF_CONTROL_-_ON_GROUND/WATER
What does [Registration_N25GH] have in terms of an emergency locator transmitter?,"Installed, not activated"
What is the second event associated with [AccidentNumber_ATL05CA123]?,ON_GROUND/WATER_ENCOUNTER_WITH_TERRAIN/WATER
What is the runway surface condition associated with [AccidentNumber_LAX02LA221]?,Dry
What is the second event associated with [AccidentNumber_ANC98LA090]?,NOSE_OVER
What is the third event associated with [AccidentNumber_FTW94LA079]?,LOSS_OF_CONTROL_-_IN_FLIGHT
What flight plan was filed for [AccidentNumber_ANC04LA018]?,Company VFR
What is the restraint used associated with [Pilot_ANC04LA034]?,Seatbelt
Who was the responsible for maintainence and repair for the accident associated with [AccidentNumber_ATL84LA215]?,OTHER_MAINTENANCE_PERSONNEL
What is the fourth event associated with [AccidentNumber_LAX92LA076]?,ROLL_OVER
What does [Registration_N177BM] have in terms of an emergency locator transmitter?,"Installed, not activated"
What is the aircraft damage associated with [AccidentNumber_CHI03LA187]?,Substantial
What flight plan was filed for [AccidentNumber_DEN01LA060]?,Company VFR
What is the aircraft fire associated with [AccidentNumber_FTW04FA054]?,On-Ground
What is the third event associated with [AccidentNumber_NYC91LA124]?,MAIN_GEAR_COLLAPSED
What is the seat occupancy associated with [Pilot_DEN03LA148]?,Left
What is the aircraft manufacturer associated with [Registration_N421SD]?,Cessna
What is the second event associated with [AccidentNumber_SEA06CA174]?,IN_FLIGHT_COLLISION_WITH_OBJECT_-_TREE(S)
What is the aircraft issue that caused [AccidentNumber_LAX05LA060]?,___Unknown___AircraftIssue
What is the first event associated with [AccidentNumber_CHI03FA291]?,LOSS_OF_ENGINE_POWER
What engine is associated with [Registration_N970SP]?,1Reciprocating
What caused [AccidentNumber_SEA95FA111]?,OVERCONFIDENCEINPERSONALABILITY|FLIGHTINTOADVERSEWEATHER|WEATHERCONDITION|AIRCRAFTCONTROL
What caused [AccidentNumber_SEA95LA110]?,TERRAINCONDITION|CLEARANCE
What is the Flight Crew associated with [AccidentNumber_ANC86FA118A]?,PILOT_IN_COMMAND
What engine is associated with [Registration_N731KG]?,1Reciprocating
What airspace is associated with [AccidentNumber_NYC02FA152]?,ClassG
What environmental issue caused [AccidentNumber_IAD04LA029]?,___Unknown___EnvironmentalIssue
What caused [AccidentNumber_NYC88FA072]?,LACKOFTOTALEXPERIENCE|JUDGMENT|STALL/SPIN|WEATHERCONDITION|VFRFLIGHTINTOIMC
What is the Flight Crew associated with [AccidentNumber_LAX86LA105]?,PILOT_IN_COMMAND
What is the lowest cloud condition associated with [AccidentNumber_DEN04LA017]?,Clear
What is the condition of light associated with [AccidentNumber_MIA05LA036]?,Day
What is the runway surface type associated with [AccidentNumber_DEN01LA080]?,Asphalt
What is the first event associated with [AccidentNumber_FTW86FA023]?,AIRFRAME/COMPONENT/SYSTEM_FAILURE/MALFUNCTION
What is the Flight Crew associated with [AccidentNumber_LAX89LA143]?,PILOT_IN_COMMAND
What is the crew injury associated with [AccidentNumber_DEN03LA148]?,1 None
What is the second event associated with [AccidentNumber_ANC88LA002]?,IN_FLIGHT_COLLISION_WITH_TERRAIN/WATER
What is the runway surface type associated with [AccidentNumber_MIA01GA070]?,___Unknown___RunwaySurfaceType
What is the third event associated with [AccidentNumber_LAX04LA119]?,NOSE_OVER
What aircraft category does [Registration_N9765R] belong to?,Airplane
What is the clearance associated with [AccidentNumber_LAX02LA074]?,VFR
What is the aircraft damage associated with [AccidentNumber_CHI01LA306]?,Substantial
What is the landing gear associated with [Registration_N1933B]?,Tricycle
What caused [AccidentNumber_NYC03GA094]?,IMPAIRMENTDRUGS
What engine is associated with [Registration_N753KD]?,1TurboProp
What is the Visual Flight Rules approach associated with [AccidentNumber_FTW01LA057]?,___Unknown___VisualFlightRulesApproach
What is the first event associated with [AccidentNumber_NYC97FA025]?,LOSS_OF_ENGINE_POWER(TOTAL)_-_NONMECHANICAL
What is the second event associated with [AccidentNumber_MIA97LA054]?,FORCED_LANDING
What caused [AccidentNumber_ANC97FA002]?,STALL|AIRSPEED|COMPENSATIONFORWINDCONDITIONS|WEATHERCONDITION
What airworthiness certificate does [Registration_N700PP] have?,Normal
What is the airplane rating associated with [Pilot_ATL04LA167]?,Multi-engineLand;Single-engineLand
What is the crew injury associated with [AccidentNumber_SEA01LA164]?,1 Minor
What is the aircraft damage associated with [AccidentNumber_LAX05CA128]?,Substantial
What is the aircraft damage associated with [AccidentNumber_NYC03LA003]?,Substantial
What is the airplane rating associated with [Pilot_NYC02LA107]?,Single-engineLand;Single-engineSea
What is the third event associated with [AccidentNumber_MIA07LA129]?,IN_FLIGHT_COLLISION_WITH_TERRAIN/WATER
In which country did [AccidentNumber_FTW03LA102] occur?,LA
What is the second event associated with [AccidentNumber_MIA85LA110]?,FORCED_LANDING
What is the condition of light associated with [AccidentNumber_LAX01LA089]?,Night/Dark
What certificate does [Pilot_MIA03LA176] have?,AirlineTransport;Commercial
What flight plan was filed for [AccidentNumber_CHI03LA076]?,IFR
What is the third event associated with [AccidentNumber_CHI99LA082]?,IN_FLIGHT_COLLISION_WITH_TERRAIN/WATER
What caused [AccidentNumber_MKC89LA032]?,LACKOFTOTALEXPERIENCEINTYPEOPERATION|TERRAINCONDITION|AIRCRAFTCONTROL
What is the Flight Crew associated with [AccidentNumber_ATL97LA130]?,PILOT_IN_COMMAND
What environmental issue caused [AccidentNumber_LAX04LA254]?,___Unknown___EnvironmentalIssue
What is the aircraft issue that caused [AccidentNumber_DFW05LA116]?,___Unknown___AircraftIssue
What is the second event associated with [AccidentNumber_FTW86LA099]?,FORCED_LANDING
What certificate does [Pilot_LAX02LA123] have?,FlightInstructor;Commercial
What is the lowest cloud condition associated with [AccidentNumber_MIA03LA090]?,Clear
What is the aircraft issue that caused [AccidentNumber_ATL01LA101]?,___Unknown___AircraftIssue
What environmental issue caused [AccidentNumber_ATL01LA029]?,___Unknown___EnvironmentalIssue
What is the crew injury associated with [AccidentNumber_CHI03LA190]?,1 None
What caused [AccidentNumber_SEA06CA059]?,ICE/FROSTREMOVALFROMAIRCRAFT|WEATHERCONDITION|CLEARANCE|TERRAINCONDITION|FLIGHTPLANNING/DECISION
What is the first event associated with [AccidentNumber_LAX04LA112]?,LOSS_OF_ENGINE_POWER
What caused [AccidentNumber_SEA02LA049]?,CLEARANCE
What is the first event associated with [AccidentNumber_CHI97LA241]?,LOSS_OF_ENGINE_POWER
What is the first event associated with [AccidentNumber_SEA05CA035]?,HARD_LANDING
What is the first event associated with [AccidentNumber_ATL82DA061]?,LOSS_OF_CONTROL_-_ON_GROUND/WATER
What is the Flight Crew associated with [AccidentNumber_LAX96LA002]?,PILOT_IN_COMMAND
What is the landing gear associated with [Registration_N2338V]?,Retractable-Tricycle
What is the seat occupancy associated with [Pilot_ANC03LA011]?,Left
What is the Federal Aviation Regulation associated with [AccidentNumber_ANC02LA089]?,Part91GeneralAviation-Business
What is the second event associated with [AccidentNumber_CHI93FA024]?,IN_FLIGHT_COLLISION_WITH_TERRAIN/WATER
What airspace is associated with [AccidentNumber_CHI04LA187]?,WreckageAndImpactInformation
What is the engine manufacturer associated with [Registration_N5QV]?,Continental
What is the airframe total time associated with [Registration_N1066M]?,___Unknown___AirframeTotalTime
What caused [AccidentNumber_LAX03LA018]?,RECOVERYFROMBOUNCEDLANDING|FLARE|GROUNDLOOP/SWERVE
What engine is associated with [Registration_N123JL]?,1Reciprocating
What is the third event associated with [AccidentNumber_LAX01LA231]?,ON_GROUND/WATER_ENCOUNTER_WITH_TERRAIN/WATER
What is the second event associated with [AccidentNumber_CHI01FA111]?,LOSS_OF_CONTROL_-_IN_FLIGHT
What is the aircraft issue that caused [AccidentNumber_CHI03LA187]?,___Unknown___AircraftIssue
What caused [AccidentNumber_MIA03CA103]?,DIRECTIONALCONTROL
What medical certification does [Pilot_LAX01LA164] have?,Class 3 Valid Medical--no waivers/lim.
What is the second event associated with [AccidentNumber_LAX04LA112]?,FORCED_LANDING
Who was the responsible for maintainence and repair for the accident associated with [AccidentNumber_DCA99MA007]?,COMPANY_MAINTENANCE_PERSONNEL
What is the third event associated with [AccidentNumber_NYC85FA092]?,HARD_LANDING
What is the seat occupancy associated with [Pilot_FTW01LA113]?,Right
What is the second event associated with [AccidentNumber_LAX90LA046]?,FORCED_LANDING
What is the first event associated with [AccidentNumber_CHI95LA145]?,LOSS_OF_ENGINE_POWER(PARTIAL)_-_MECH_FAILURE/MALF
What flight plan was filed for [AccidentNumber_ATL04LA044]?,IFR
What caused [AccidentNumber_CHI93LA045]?,PROPERALTITUDE|VISUALLOOKOUT|AIRCRAFTPREFLIGHT|LACKOFTOTALEXPERIENCE
What is the seat occupancy associated with [Pilot_LAX03LA019]?,Left
What is the seat occupancy associated with [Pilot_CHI03LA194]?,Left
What caused [AccidentNumber_NYC03LA078]?,AIRSPEED|COMPENSATIONFORWINDCONDITIONS|WEATHERCONDITION
What is the condition of light associated with [AccidentNumber_ATL04LA044]?,Night/Dark
What airworthiness certificate does [Registration_N185NR] have?,Normal
What are the conditions at the accident site associated with [AccidentNumber_CHI04LA084]?,Visual Conditions
What caused [AccidentNumber_CHI83FA125]?,STALL/SPIN|THROTTLE/POWERCONTROL|EMERGENCYPROCEDURE|AEROBATICS
What caused [AccidentNumber_FTW83FA259]?,STALL|AIRSPEED|PULLUP|PROCEDURES/DIRECTIVES|REMEDIALACTION|SUPERVISION|TERRAINCONDITION
What is the seat occupancy associated with [Pilot_LAX02LA037]?,Rear
What is the Flight Crew associated with [AccidentNumber_CHI05LA086]?,PILOT_IN_COMMAND
What is the first event associated with [AccidentNumber_MIA07CA070]?,LOSS_OF_ENGINE_POWER(TOTAL)_-_NONMECHANICAL
What is the first event associated with [AccidentNumber_NYC90DFJ01]?,ON_GROUND/WATER_ENCOUNTER_WITH_TERRAIN/WATER
What passanger injury is associated with [AccidentNumber_DEN03LA062]?,1 None
What is the second event associated with [AccidentNumber_FTW92LA065]?,FORCED_LANDING
What is the first event associated with [AccidentNumber_CHI05CA040]?,LOSS_OF_CONTROL_-_ON_GROUND/WATER
What is the Flight Crew associated with [AccidentNumber_NYC86LA167]?,PILOT_IN_COMMAND
What is the second event associated with [AccidentNumber_NYC88LA099]?,ON_GROUND/WATER_ENCOUNTER_WITH_TERRAIN/WATER
What is the airplane rating associated with [Pilot_ATL02FA072]?,Multi-engineLand;Single-engineLand
What certificate does [Pilot_ANC03LA011] have?,Commercial
What is the crew injury associated with [AccidentNumber_DEN01LA059]?,1 Serious
What is the crew injury associated with [AccidentNumber_FTW02FA195]?,1 Fatal
What caused [AccidentNumber_CHI95LA113]?,WEATHERCONDITION|COMPENSATIONFORWINDCONDITIONS
What is the first event associated with [AccidentNumber_CHI99LA016]?,AIRFRAME/COMPONENT/SYSTEM_FAILURE/MALFUNCTION
What is the first event associated with [AccidentNumber_ATL01LA050]?,HARD_LANDING
What is the second event associated with [AccidentNumber_DEN86LA036]?,ON_GROUND/WATER_ENCOUNTER_WITH_TERRAIN/WATER
What is the condition of light associated with [AccidentNumber_DEN05TA033]?,Day
What is the first event associated with [AccidentNumber_BFO90FA067]?,LOSS_OF_ENGINE_POWER(TOTAL)_-_NONMECHANICAL
What is the seat occupancy associated with [Pilot_DEN03LA061]?,Left
What airspace is associated with [AccidentNumber_LAX04FA001]?,WreckageAndImpactInformation
Who was the responsible for maintainence and repair for the accident associated with [AccidentNumber_FTW94LA253]?,OTHER_MAINTENANCE_PERSONNEL
What is the second event associated with [AccidentNumber_NYC03FA001]?,LOSS_OF_CONTROL_-_IN_FLIGHT
What is the condition of light associated with [AccidentNumber_ANC04LA060]?,Day
What is the first event associated with [AccidentNumber_ATL84FU006]?,AIRFRAME/COMPONENT/SYSTEM_FAILURE/MALFUNCTION
What is the Visual Flight Rules approach associated with [AccidentNumber_NYC03LA078]?,FullStop;TrafficPattern
What is the first event associated with [AccidentNumber_MIA89LA143]?,OVERRUN
What is the landing gear associated with [Registration_N9682P]?,Tailwheel
What is the second event associated with [AccidentNumber_BFO90FA067]?,FORCED_LANDING
What is the total injury associated with [AccidentNumber_ANC04LA060]?,2 None
What is the crew injury associated with [AccidentNumber_DEN04FA027B]?,1 None
What caused [AccidentNumber_ATL88LA112]?,WEATHERCONDITION|LACKOFTOTALEXPERIENCE|DIRECTIONALCONTROL
What is the landing gear associated with [Registration_N2233D]?,Tailwheel
What is the second event associated with [AccidentNumber_FTW85LA062]?,FORCED_LANDING
What airworthiness certificate does [Registration_N161D] have?,Normal
What is the second event associated with [AccidentNumber_ATL07LA067]?,LOSS_OF_CONTROL_-_IN_FLIGHT
What is the landing gear associated with [Registration_N4024B]?,Retractable-Tricycle
What flight plan was filed for [AccidentNumber_FTW01LA135]?,VFR
What is the aircraft manufacturer associated with [Registration_N21213]?,Cessna
Who was the responsible for maintainence and repair for the accident associated with [AccidentNumber_NYC86LA028]?,OTHER_MAINTENANCE_PERSONNEL
What is the seat occupancy associated with [Pilot_NYC05CA079]?,___Unknown___SeatOccupied
What is the first event associated with [AccidentNumber_ANC85LA142]?,LOSS_OF_CONTROL_-_ON_GROUND/WATER
What does [Registration_N2724R] have in terms of an emergency locator transmitter?,"Installed, not activated"
What is the Flight Crew associated with [AccidentNumber_IAD98LA065]?,PILOT_IN_COMMAND
What is the condition of light associated with [AccidentNumber_CHI04LA124]?,Day
What is the crew injury associated with [AccidentNumber_FTW03LA091]?,1 None
What is the third event associated with [AccidentNumber_DFW07LA080]?,IN_FLIGHT_COLLISION_WITH_OBJECT_-_VEHICLE
What is the lowest cloud condition associated with [AccidentNumber_SEA04LA063A]?,Clear
What airworthiness certificate does [Registration_N66758] have?,Utility
What is the second event associated with [AccidentNumber_NYC89LA169]?,ON_GROUND/WATER_COLLISION_WITH_OBJECT_-_FENCE
What is the third event associated with [AccidentNumber_ATL85LA075]?,DITCHING
What is the Flight Crew associated with [AccidentNumber_CHI89FA038]?,PILOT_IN_COMMAND
What is the first event associated with [AccidentNumber_SEA87LA061]?,LOSS_OF_ENGINE_POWER(TOTAL)_-_MECH_FAILURE/MALF
What is the aircraft damage associated with [AccidentNumber_NYC02FA152]?,Destroyed
What engine is associated with [Registration_N669SP]?,1Reciprocating
What caused [AccidentNumber_NYC83LA059]?,DIRECTIONALCONTROL|LANDINGGEARMAINGEAR|TERRAINCONDITION|GROUNDLOOP/SWERVE
What is the airplane rating associated with [Pilot_ATL04LA088]?,Multi-engineLand;Single-engineLand
What is the first event associated with [AccidentNumber_NYC99LA044]?,LOSS_OF_ENGINE_POWER(TOTAL)_-_NONMECHANICAL
What is the Flight Crew associated with [AccidentNumber_FTW84FA297]?,PILOT_IN_COMMAND
What flight plan was filed for [AccidentNumber_FTW04FA172]?,IFR
What environmental issue caused [AccidentNumber_LAX03LA123]?,___Unknown___EnvironmentalIssue
What caused [AccidentNumber_SEA04LA077]?,ALTITUDE/CLEARANCE
What is the second event associated with [AccidentNumber_LAX03LA163]?,COMPLETE_GEAR_COLLAPSED
What is the restraint used associated with [Pilot_CHI03LA063]?,"Seatbelt, Shoulder harness"
What environmental issue caused [AccidentNumber_FTW04FA054]?,___Unknown___EnvironmentalIssue
What caused [AccidentNumber_FTW94LA088]?,WING|STALL|ICE/FROSTREMOVALFROMAIRCRAFT|AIRCRAFTPREFLIGHT
What is the second event associated with [AccidentNumber_FTW82DA074]?,NOSE_GEAR_COLLAPSED
What medical certification does [Pilot_IAD04LA019] have?,Class 3 Valid Medical--w/ waivers/lim.
What is the aircraft manufacturer associated with [Registration_N9558E]?,Bellanca
What are the conditions at the accident site associated with [AccidentNumber_ANC01LA066]?,Visual Conditions
What is the second event associated with [AccidentNumber_LAX97LA033]?,FORCED_LANDING
What is the aircraft damage associated with [AccidentNumber_DEN04FA027A]?,Substantial
What is the engine model associated with [Registration_N33515]?,___Unknown___EngineModel
What engine is associated with [Registration_N195S]?,1Reciprocating
What was the result of the last inspection for [Registration_N32DS]?,Annual
What is the engine model associated with [Registration_N8240P]?,O-320
What is the restraint used associated with [Pilot_MIA05LA036]?,"Seatbelt, Shoulder harness"
What caused [AccidentNumber_CHI90LA147]?,REASONFOROCCURRENCEUNDETERMINED|UNSUITABLETERRAINORTAKEOFF/LANDING/TAXIAREA|WEATHERCONDITION|TERRAINCONDITION
What is the crew injury associated with [AccidentNumber_FTW01LA045]?,1 None
What is the aircraft damage associated with [AccidentNumber_NYC01LA198]?,Substantial
What is the runway surface type associated with [AccidentNumber_ATL02FA162]?,Asphalt
What are the conditions at the accident site associated with [AccidentNumber_CHI03LA145]?,Visual Conditions
What is the first event associated with [AccidentNumber_DEN86LA036]?,LOSS_OF_CONTROL_-_ON_GROUND/WATER
What aircraft category does [Registration_N7471C] belong to?,Airplane
What engine is associated with [Registration_N8071Z]?,1Reciprocating
What engine is associated with [Registration_N132Z]?,2Reciprocating
What is the second event associated with [AccidentNumber_SEA05LA002]?,LOSS_OF_CONTROL_-_IN_FLIGHT
What is the first event associated with [AccidentNumber_BFO93LA064]?,LOSS_OF_ENGINE_POWER(TOTAL)_-_NONMECHANICAL
What are the conditions at the accident site associated with [AccidentNumber_CHI01LA081]?,Visual Conditions
What is the Flight Crew associated with [AccidentNumber_MIA03LA116]?,PILOT_IN_COMMAND
